english_title,bengali_title,bengali_version,english_version
"Thou hast made me endless, such is thy pleasure",আমারে তুমি অশেষ করেছ,"আমারে তুমি অশেষ করেছ এমনি লীলা তব। ফুরায়ে ফেলে আবার ভরেছ জীবন নব নব। কত যে গিরি কত যে নদীতীরে বেড়ালে বহি ছোটো এ বাঁশিটিরে, কত যে তান বাজালে ফিরে ফিরে কাহারে তাহা কব। তোমারি ওই অমৃতপরশে আমার হিয়াখানি হারালো সীমা বিপুল হরষে উথলি’ উঠে বাণী। আমার শুধু একটি মুঠি ভরি দিতেছ দান দিবসবিভাবরী, হল না সারা কত-না যুগ ধরি, কেবলই আমি লব।","Thou hast made me endless, such is thy pleasure. This frail vessel thou
emptiest again and again, and fillest it ever with fresh life.

This little flute of a reed thou hast carried over hills and dales, and
hast breathed through it melodies eternally new.

At the immortal touch of thy hands my little heart loses its limits in
joy and gives birth to utterance ineffable.

Thy infinite gifts come to me only on these very small hands of mine.
Ages pass, and still thou pourest, and still there is room to fill."
When thou commandest me to sing it seems that,তুমি যখন গান গাহিতে বল,"তুমি যখন গান গাহিতে বল গর্ব আমার ভ ' রে ওঠে বুকে ; দুই আঁখি মোর করে ছল ছল নিমেষহারা চেয়ে তোমার মুখে। কঠিন কটু যা আছে মোর প্রাণে গলিতে চায় অমৃতময় গানে, সব সাধনা আরাধনা মম উড়িতে চায় পাখির মতো সুখে। তৃপ্ত তুমি আমার গীতরাগে, ভালো লাগে তোমার ভালো লাগে, জানি আমি এই গানের ই বলে বসি গিয়ে তোমারি সম্মুখে। মন দিয়ে যার নাগাল নাহি পাই, গান দিয়ে সেই চরণ ছুঁয়ে যাই, সুরের ঘোরে আপনাকে যাই ভুলে, বন্ধু ব'লে ডাকি মোর প্রভুকে।","When thou commandest me to sing it seems that my heart would break with
pride; and I look to thy face, and tears come to my eyes.

All that is harsh and dissonant in my life melts into one sweet
harmony—and my adoration spreads wings like a glad bird on its flight
across the sea.

I know thou takest pleasure in my singing. I know that only as a singer
I come before thy presence.

I touch by the edge of the far-spreading wing of my song thy feet which
I could never aspire to reach.

Drunk with the joy of singing I forget myself and call thee friend who
art my lord."
"I know not how thou singest, my master!",তুমি কেমন করে গান কর যে গুণী,"তুমি কেমন করে গান কর যে গুণী, অবাক হয়ে শুনি, কেবল শুনি। সুরের আলো ভুবন ফেলে ছেয়ে, সুরের হাওয়া চলে গগন বেয়ে, পাষাণ টুটে ব্যাকুল বেগে ধেয়ে, বহিয়া যায় সুরের সুরধুনী। মনে করি অমনি সুরে গাই, কণ্ঠে আমার সুর খুঁজে না পাই। কইতে কী চাই, কইতে কথা বাধে ; হার মেনে যে পরান আমার কাঁদে ; আমায় তুমি ফেলেছ কোন্ ফাঁদে চৌদিকে মোর সুরের জাল বুনি!","I know not how thou singest, my master! I ever listen in silent
amazement.

The light of thy music illumines the world. The life breath of thy
music runs from sky to sky. The holy stream of thy music breaks through
all stony obstacles and rushes on.

My heart longs to join in thy song, but vainly struggles for a voice. I
would speak, but speech breaks not into song, and I cry out baffled.
Ah, thou hast made my heart captive in the endless meshes of thy music,
my master!"
"Life of my life, I shall ever try",আমার সকল অঙ্গে তোমার পরশ,"আমার সকল অঙ্গে তোমার পরশ লগ্ন হয়ে রহিয়াছে রজনী-দিবস প্রাণেশ্বর, এই কথা নিত্য মনে আনি রাখিব পবিত্র করি মোর তনুখানি। মনে তুমি বিরাজিছ, হে পরম জ্ঞান, এই কথা সদা স্মরি মোর সর্বধ্যান সর্বচিন্তা হতে আমি সর্বচেষ্টা করি সর্বমিথ্যা রাখি দিব দূরে পরিহরি। হৃদয়ে রয়েছে তব অচল আসন এই কথা মনে রেখে করিব শাসন সকল কুটিল দ্বেষ, সর্ব অমঙ্গল — প্রেমেরে রাখিব করি প্রস্ফুট নির্মল। সর্ব কর্মে তব শক্তি এই জেনে সার করিব সকল কর্মে তোমারে প্রচার।","Life of my life, I shall ever try to keep my body pure, knowing that
thy living touch is upon all my limbs.

I shall ever try to keep all untruths out from my thoughts, knowing
that thou art that truth which has kindled the light of reason in my
mind.

I shall ever try to drive all evils away from my heart and keep my love
in flower, knowing that thou hast thy seat in the inmost shrine of my
heart.

And it shall be my endeavour to reveal thee in my actions, knowing it
is thy power gives me strength to act."
I ask for a moment's indulgence to sit by thy side,তুমি একটু কেবল বসতে দিয়ো কাছে,"তুমি একটু কেবল বসতে দিয়ো কাছে আমায় শুধু ক্ষণেক তরে। আজি হাতে আমার যা কিছু কাজ আছে আমি সাঙ্গ করব পরে। না চাহিলে তোমার মুখপানে হৃদয় আমার বিরাম নাহি জানে, কাজের মাঝে ঘুরে বেড়াই যত ফিরি কূলহারা সাগরে। বসন্ত আজ উচ্ছ্বাসে নিশ্বাসে এল আমার বাতায়নে। অলস ভ্রমর গুঞ্জরিয়া আসে ফেরে কুঞ্জের প্রাঙ্গণে। আজকে শুধু একান্তে আসীন চোখে চোখে চেয়ে থাকার দিন, আজকে জীবন-সমর্পণের গান গাব নীরব অবসরে।","I ask for a moment's indulgence to sit by thy side. The works that I
have in hand I will finish afterwards.

Away from the sight of thy face my heart knows no rest nor respite, and
my work becomes an endless toil in a shoreless sea of toil.

Today the summer has come at my window with its sighs and murmurs; and
the bees are plying their minstrelsy at the court of the flowering
grove.

Now it is time to sit quite, face to face with thee, and to sing
dedication of life in this silent and overflowing leisure."
"Pluck this little flower and take it, delay not !",ছিন্ন করে লও হে মোরে,"ছিন্ন করে লও হে মোরে আর বিলম্ব নয়! ধুলায় পাছে ঝরে পড়ি এই জাগে মোর ভয়। এ ফুল তোমার মালার মাঝে ঠাঁই পাবে কি, জানি না যে, তবু তোমার আঘাতটি তার ভাগ্যে যেন রয়। ছিন্ন করো ছিন্ন করো আর বিলম্ব নয়। কখন্ যে দিন ফুরিয়ে যাবে, আসবে আঁধার করে, কখন তোমার পূজার বেলা কাটবে অগোচরে। যেটুকু এর রঙ ধরেছে, গন্ধে সুধায় বুক ভরেছে, তোমার সেবায় লও সেটুকু থাকতে সুসময়। ছিন্ন করো ছিন্ন করো আর বিলম্ব নয়।","Pluck this little flower and take it, delay not ! I fear lest it droop
and drop into the dust.

I may not find a place in thy garland, but honour it with a touch of
pain from thy hand and pluck it. I fear lest the day end before I am
aware, and the time of offering go by.

Though its colour be not deep and its smell be faint, use this flower
in thy service and pluck it while there is time."
My song has put off her adornments,আমার এ গান ছেড়েছে তার,"আমার এ গান ছেড়েছে তার সকল অলংকার, তোমার কাছে রাখে নি আর সাজের অহংকার। অলংকার যে মাঝে প ' ড়ে মিলনেতে আড়াল করে, তোমার কথা ঢাকে যে তার মুখর ঝংকার। তোমার কাছে খাটে না মোর কবির গরব করা, মহাকবি, তোমার পায়ে দিতে চাই যে ধরা। জীবন লয়ে যতন করি ' যদি সকল বাঁশি গড়ি, আপন সুরে দিবে ভরি সকল ছিদ্র তার।","My song has put off her adornments. She has no pride of dress and
decoration. Ornaments would mar our union; they would come between thee
and me; their jingling would drown thy whispers.

My poet’s vanity dies in shame before thy sight. O master poet, I have
sat down at thy feet. Only let me make my life simple and straight,
like a flute of reed for thee to fill with music."
The child who is decked with prince's robes,রাজার মত বেশে তুমি সাজাও যে শিশুরে,"রাজার মতো বেশে তুমি সাজাও যে শিশুরে পরাও যারে মণিরতন-হার-- খেলাধুলা আনন্দ তার সকলি যায় ঘুরে, বসন-ভুষণ হয় যে বিষম ভার। ছেঁড়ে পাছে আঘাত লাগি, পাছে ধুলায় হয় সে দাগি, আপনাকে তাই সরিয়ে রাখে সবার হতে দূরে, চলতে গেলে ভাবনা ধরে তার-- রাজার মতো বেশে তুমি সাজাও যে শিশুরে, পরাও যারে মণিরতন-হার। কী হবে মা অমনতরো রাজার মতো সাজে, কী হবে ওই মণিরতন-হারে। দুয়ার খুলে দাও যদি তো ছুটি পথের মাঝে রৌদ্রবায়ু-ধুলাকাদার পাড়ে। যেথায় বিশ্বজনের মেলা সমস্ত দিন নানান খেলা, চারি দিকে বিরাট গাথা বাজে হাজার সুরে, সেথায় সে যে পায় না অধিকার, রাজার মতো বেশে তুমি সাজাও যে শিশুরে, পরাও যারে মণিরতন-হার।","The child who is decked with prince's robes and who has jewelled chains
round his neck loses all pleasure in his play; his dress hampers him at
every step.

In fear that it may be frayed, or stained with dust he keeps himself
from the world, and is afraid even to move.

Mother, it is no gain, thy bondage of finery, if it keep one shut off
from the healthful dust of the earth, if it rob one of the right of
entrance to the great fair of common human life."
"O Fool, try to carry thyself upon thy own shoulders!",আর আমায় আমি নিজের শিরে,"আর আমায় আমি নিজের শিরে বইব না। আর নিজের দ্বারে কাঙাল হয়ে রইব না। এই বোঝা তোমার পায়ে ফেলে বেড়িয়ে পড়ব অবহেলে — কোনো খবর রাখব না ওর, কোনো কথাই কইব না। আমায় আমি নিজের শিরে বইব না। বাসনা মোর যারেই পরশ করে সে, আলোটি তার নিবিয়ে ফেলে নিমেষে। ওরে সেই অশুচি, দুই হাতে তার যা এনেছে চাই নে সে আর, তোমার প্রেমে বাজবে না যা সে আর আমি সইব না আমায় আমি নিজের শিরে বইব না।","O Fool, try to carry thyself upon thy own shoulders! O beggar, to come
beg at thy own door!

Leave all thy burdens on his hands who can bear all, and never look
behind in regret.

Thy desire at once puts out the light from the lamp it touches with its
breath. It is unholy—take not thy gifts through its unclean hands.
Accept only what is offered by sacred love."
Here is thy footstool and there rest thy feet,যেথায় থাকে সবার অধম,"যেথায় থাকে সবার অধম দীনের হতে দীন সেইখানে যে চরণ তোমার রাজে সবার পিছে, সবার নীচে, সব-হারাদের মাঝে। যখন তোমায় প্রণাম করি আমি, প্রণাম আমার কোন্ খানে যায় থামি, তোমার চরণ যেথায় নামে অপমানের তলে সেথায় আমার প্রণাম নামে না যে সবার পিছে, সবার নীচে, সব-হারাদের মাঝে। অহংকার তো পায় না নাগাল যেথায় তুমি ফের' রিক্তভূষণ দীনদরিদ্র সাজে — সবার পিছে, সবার নীচে, সব-হারাদের মাঝে। ধনে মানে যেথায় আছে ভরি সেথায় তোমার সঙ্গ আশা করি — সঙ্গী হয়ে আছ যেথায় সঙ্গিহীনের ঘরে সেথায় আমার হৃদয় নামে না যে সবার পিছে, সবার নীচে, সব-হারাদের মাঝে।","Here is thy footstool and there rest thy feet where live the poorest,
and lowliest, and lost.

When I try to bow to thee, my obeisance cannot reach down to the depth
where thy feet rest among the poorest, and lowliest, and lost.

Pride can never approach to where thou walkest in the clothes of the
humble among the poorest, and lowliest, and lost.

My heart can never find its way to where thou keepest company with the
companionless among the poorest, the lowliest, and the lost."
